Year,Month,Day,Max Temp (F),Min Temp (F),Precipitation (in),Max Temp (C),Min Temp (C)
1990,9,19,81,64,0.0,27.22222222222222,17.77777777777778
1990,9,20,72,51,0.0,22.22222222222222,10.555555555555555
1990,9,21,59,49,0.03,15.0,9.444444444444445
1990,9,22,69,41,0.0,20.555555555555557,5.0
1990,9,23,80,56,0.0,26.666666666666668,13.333333333333334
1990,9,24,86,53,0.0,30.0,11.666666666666666
1990,9,25,61,57,0.57,16.11111111111111,13.88888888888889
1990,9,26,61,54,0.04,16.11111111111111,12.222222222222221
1990,9,27,61,41,0.01,16.11111111111111,5.0
1990,9,28,62,42,0.0,16.666666666666668,5.555555555555555
1990,9,29,68,43,0.0,20.0,6.111111111111111
1990,9,30,74,44,0.0,23.333333333333332,6.666666666666667
1990,10,1,71,47,0.0,21.666666666666668,8.333333333333334
1990,10,2,72,46,0.0,22.22222222222222,7.777777777777778
1990,10,3,73,44,0.0,22.77777777777778,6.666666666666667
1990,10,4,76,50,0.0,24.444444444444443,10.0
1990,10,5,62,56,0.09,16.666666666666668,13.333333333333334
1990,10,6,62,48,0.01,16.666666666666668,8.88888888888889
1990,10,7,66,40,0.0,18.88888888888889,4.444444444444445
1990,10,8,61,52,0.12,16.11111111111111,11.11111111111111
1990,10,9,64,50,0.0,17.77777777777778,10.0
1990,10,10,83,46,0.0,28.333333333333332,7.777777777777778
1990,10,11,64,55,0.08,17.77777777777778,12.777777777777779
1990,10,12,64,52,0.02,17.77777777777778,11.11111111111111
1990,10,13,74,49,0.0,23.333333333333332,9.444444444444445
1990,10,14,73,61,0.01,22.77777777777778,16.11111111111111
1990,10,15,66,51,0.0,18.88888888888889,10.555555555555555
1990,10,16,64,55,0.02,17.77777777777778,12.777777777777779
1990,10,17,74,48,0.0,23.333333333333332,8.88888888888889
1990,10,18,63,59,0.0,17.22222222222222,15.0
1990,10,19,60,50,0.26,15.555555555555555,10.0
1990,10,20,62,48,0.13,16.666666666666668,8.88888888888889
1990,10,21,62,53,0.31,16.666666666666668,11.666666666666666
1990,10,22,62,46,0.0,16.666666666666668,7.777777777777778
1990,10,23,69,47,0.0,20.555555555555557,8.333333333333334
1990,10,24,72,47,0.0,22.22222222222222,8.333333333333334
1990,10,25,85,51,0.0,29.444444444444443,10.555555555555555
1990,10,26,88,63,0.0,31.11111111111111,17.22222222222222
1990,10,27,93,63,0.0,33.888888888888886,17.22222222222222
1990,10,28,92,57,0.0,33.333333333333336,13.88888888888889
1990,10,29,84,68,0.0,28.88888888888889,20.0
1990,10,30,87,55,0.0,30.555555555555557,12.777777777777779
1990,10,31,76,57,0.07,24.444444444444443,13.88888888888889
1990,11,1,67,56,0.07,19.444444444444443,13.333333333333334
1990,11,2,77,54,0.0,25.0,12.222222222222221
1990,11,3,87,61,0.0,30.555555555555557,16.11111111111111
1990,11,4,87,58,0.0,30.555555555555557,14.444444444444445
1990,11,5,99,71,0.0,37.22222222222222,21.666666666666668
1990,11,6,96,63,0.0,35.55555555555556,17.22222222222222
1990,11,7,80,61,0.02,26.666666666666668,16.11111111111111
1990,11,8,83,62,0.0,28.333333333333332,16.666666666666668
1990,11,9,66,57,0.06,18.88888888888889,13.88888888888889
1990,11,10,63,57,0.02,17.22222222222222,13.88888888888889
1990,11,12,83,44,0.0,28.333333333333332,6.666666666666667
1990,11,13,92,63,0.0,33.333333333333336,17.22222222222222
1990,11,14,71,55,0.0,21.666666666666668,12.777777777777779
1990,11,15,67,51,0.0,19.444444444444443,10.555555555555555
1990,11,16,67,54,0.0,19.444444444444443,12.222222222222221
1990,11,17,74,54,0.02,23.333333333333332,12.222222222222221
1990,11,18,74,55,0.0,23.333333333333332,12.777777777777779
1990,11,19,80,50,0.01,26.666666666666668,10.0
1990,11,20,90,54,0.0,32.22222222222222,12.222222222222221
1990,11,21,68,62,0.0,20.0,16.666666666666668
1990,11,22,73,58,0.0,22.77777777777778,14.444444444444445
1990,11,23,67,55,0.01,19.444444444444443,12.777777777777779
1990,11,24,65,57,0.0,18.333333333333332,13.88888888888889
1990,11,25,67,48,0.0,19.444444444444443,8.88888888888889
1990,11,26,78,56,0.0,25.555555555555557,13.333333333333334
1990,11,27,94,56,0.0,34.44444444444444,13.333333333333334
1990,11,28,90,60,0.0,32.22222222222222,15.555555555555555
1990,11,29,90,60,0.0,32.22222222222222,15.555555555555555
1990,11,30,97,59,0.0,36.111111111111114,15.0
1990,12,1,89,74,0.0,31.666666666666668,23.333333333333332
1990,12,2,74,63,0.02,23.333333333333332,17.22222222222222
1990,12,3,70,63,0.0,21.11111111111111,17.22222222222222
1990,12,4,86,57,0.0,30.0,13.88888888888889
1990,12,5,80,66,0.0,26.666666666666668,18.88888888888889
1990,12,6,88,66,0.52,31.11111111111111,18.88888888888889
1990,12,7,71,62,0.33,21.666666666666668,16.666666666666668
1990,12,8,68,57,0.0,20.0,13.88888888888889
1990,12,9,64,55,0.06,17.77777777777778,12.777777777777779
1990,12,10,67,48,0.43,19.444444444444443,8.88888888888889
1990,12,11,66,48,0.0,18.88888888888889,8.88888888888889
1990,12,12,67,58,0.0,19.444444444444443,14.444444444444445
1990,12,13,66,57,0.0,18.88888888888889,13.88888888888889
1990,12,14,66,57,0.0,18.88888888888889,13.88888888888889
1990,12,15,75,50,0.0,23.88888888888889,10.0
1990,12,16,97,54,0.0,36.111111111111114,12.222222222222221
1990,12,17,83,69,0.0,28.333333333333332,20.555555555555557
1990,12,18,81,59,0.0,27.22222222222222,15.0
1990,12,19,75,64,0.02,23.88888888888889,17.77777777777778
1990,12,20,72,60,0.0,22.22222222222222,15.555555555555555
1990,12,21,76,52,0.0,24.444444444444443,11.11111111111111
1990,12,22,81,64,0.23,27.22222222222222,17.77777777777778
1990,12,23,68,59,0.0,20.0,15.0
1990,12,24,71,52,0.0,21.666666666666668,11.11111111111111
1990,12,25,79,51,0.0,26.11111111111111,10.555555555555555
1990,12,26,94,58,0.0,34.44444444444444,14.444444444444445
1990,12,27,72,69,0.0,22.22222222222222,20.555555555555557
1990,12,28,72,57,0.0,22.22222222222222,13.88888888888889
1990,12,29,80,57,0.0,26.666666666666668,13.88888888888889
1990,12,30,96,56,0.0,35.55555555555556,13.333333333333334
1990,12,31,92,64,0.0,33.333333333333336,17.77777777777778
1991,1,1,96,63,0.0,35.55555555555556,17.22222222222222
1991,1,2,107,80,0.0,41.666666666666664,26.666666666666668
1991,1,3,102,88,0.0,38.888888888888886,31.11111111111111
1991,1,4,77,64,0.04,25.0,17.77777777777778
1991,1,5,69,57,0.31,20.555555555555557,13.88888888888889
1991,1,6,69,57,0.0,20.555555555555557,13.88888888888889
1991,1,7,74,60,0.03,23.333333333333332,15.555555555555555
1991,1,8,79,54,0.0,26.11111111111111,12.222222222222221
1991,1,9,92,58,0.0,33.333333333333336,14.444444444444445
1991,1,10,104,68,0.0,40.0,20.0
1991,1,11,76,67,0.0,24.444444444444443,19.444444444444443
1991,1,12,85,58,0.0,29.444444444444443,14.444444444444445
1991,1,13,96,64,0.0,35.55555555555556,17.77777777777778
1991,1,14,96,66,0.0,35.55555555555556,18.88888888888889
1991,1,15,85,75,0.0,29.444444444444443,23.88888888888889
1991,1,16,89,63,0.0,31.666666666666668,17.22222222222222
1991,1,17,87,57,0.0,30.555555555555557,13.88888888888889
1991,1,18,86,62,0.0,30.0,16.666666666666668
1991,1,19,79,61,0.0,26.11111111111111,16.11111111111111
1991,1,20,82,63,0.0,27.77777777777778,17.22222222222222
1991,1,21,89,63,0.0,31.666666666666668,17.22222222222222
1991,1,22,92,67,0.09,33.333333333333336,19.444444444444443
1991,1,23,78,69,0.42,25.555555555555557,20.555555555555557
1991,1,24,76,66,0.0,24.444444444444443,18.88888888888889
1991,1,25,72,64,0.02,22.22222222222222,17.77777777777778
1991,1,26,73,64,0.0,22.77777777777778,17.77777777777778
1991,1,27,71,62,0.01,21.666666666666668,16.666666666666668
1991,1,28,71,63,0.0,21.666666666666668,17.22222222222222
1991,1,29,72,63,0.0,22.22222222222222,17.22222222222222
1991,1,30,78,55,0.0,25.555555555555557,12.777777777777779
1991,1,31,83,57,0.0,28.333333333333332,13.88888888888889
1991,2,1,85,52,0.0,29.444444444444443,11.11111111111111
1991,2,2,98,58,0.0,36.666666666666664,14.444444444444445
1991,2,3,94,56,0.0,34.44444444444444,13.333333333333334
1991,2,4,107,65,0.0,41.666666666666664,18.333333333333332
1991,2,5,80,65,0.0,26.666666666666668,18.333333333333332
1991,2,6,84,62,0.0,28.88888888888889,16.666666666666668
1991,2,7,73,58,0.0,22.77777777777778,14.444444444444445
1991,2,8,78,57,0.0,25.555555555555557,13.88888888888889
1991,2,9,75,59,0.0,23.88888888888889,15.0
1991,2,10,81,54,0.0,27.22222222222222,12.222222222222221
1991,2,11,87,54,0.0,30.555555555555557,12.222222222222221
1991,2,12,78,57,0.0,25.555555555555557,13.88888888888889
1991,2,13,96,57,0.0,35.55555555555556,13.88888888888889
1991,2,14,77,63,0.0,25.0,17.22222222222222
1991,2,15,70,57,0.0,21.11111111111111,13.88888888888889
1991,2,16,73,51,0.0,22.77777777777778,10.555555555555555
1991,2,17,84,56,0.0,28.88888888888889,13.333333333333334
1991,2,18,95,65,0.0,35.0,18.333333333333332
1991,2,19,76,61,0.0,24.444444444444443,16.11111111111111
1991,2,20,82,55,0.0,27.77777777777778,12.777777777777779
1991,2,21,86,52,0.0,30.0,11.11111111111111
1991,2,22,84,62,0.0,28.88888888888889,16.666666666666668
1991,2,23,83,56,0.0,28.333333333333332,13.333333333333334
1991,2,24,89,56,0.0,31.666666666666668,13.333333333333334
1991,2,25,102,60,0.0,38.888888888888886,15.555555555555555
1991,2,26,85,61,0.0,29.444444444444443,16.11111111111111
1991,2,27,85,62,0.0,29.444444444444443,16.666666666666668
1991,2,28,83,60,0.0,28.333333333333332,15.555555555555555
1991,3,1,69,49,0.0,20.555555555555557,9.444444444444445
1991,3,2,80,53,0.0,26.666666666666668,11.666666666666666
1991,3,3,86,54,0.0,30.0,12.222222222222221
1991,3,4,79,55,0.0,26.11111111111111,12.777777777777779
1991,3,5,83,62,0.0,28.333333333333332,16.666666666666668
1991,3,6,97,59,0.0,36.111111111111114,15.0
1991,3,7,88,69,0.0,31.11111111111111,20.555555555555557
1991,3,8,80,62,0.0,26.666666666666668,16.666666666666668
1991,3,9,70,62,0.02,21.11111111111111,16.666666666666668
1991,3,10,69,51,0.0,20.555555555555557,10.555555555555555
1991,3,11,70,57,0.01,21.11111111111111,13.88888888888889
1991,3,12,69,53,0.0,20.555555555555557,11.666666666666666
1991,3,13,76,56,0.0,24.444444444444443,13.333333333333334
1991,3,14,76,50,0.0,24.444444444444443,10.0
1991,3,15,72,55,0.0,22.22222222222222,12.777777777777779
1991,3,16,79,46,0.0,26.11111111111111,7.777777777777778
1991,3,17,92,55,0.0,33.333333333333336,12.777777777777779
1991,3,18,85,71,0.0,29.444444444444443,21.666666666666668
1991,3,19,70,63,0.0,21.11111111111111,17.22222222222222
1991,3,20,70,55,0.02,21.11111111111111,12.777777777777779
1991,3,21,65,55,0.0,18.333333333333332,12.777777777777779
1991,3,22,68,52,0.1,20.0,11.11111111111111
1991,3,23,68,49,0.0,20.0,9.444444444444445
1991,3,24,81,49,0.0,27.22222222222222,9.444444444444445
1991,3,25,85,63,0.0,29.444444444444443,17.22222222222222
1991,3,26,70,61,0.03,21.11111111111111,16.11111111111111
1991,3,27,71,60,0.0,21.666666666666668,15.555555555555555
1991,3,28,81,50,0.0,27.22222222222222,10.0
1991,3,29,78,66,0.0,25.555555555555557,18.88888888888889
1991,3,30,70,64,0.0,21.11111111111111,17.77777777777778
1991,3,31,74,60,0.0,23.333333333333332,15.555555555555555
1991,4,1,64,58,0.12,17.77777777777778,14.444444444444445
1991,4,2,67,47,0.02,19.444444444444443,8.333333333333334
